System,Ligand_Name,Receptor_Name,Ligand_Gene,Receptor_Gene,Ligand_Class,Functional_Role,Hypothalamic_Nuclei,Notes
Cortistatin,Cortistatin,Somatostatin receptor 3,Cort,Sstr3,neuropeptide,"Neuromodulation",ARH;PVH;DMH,"Shared with somatostatin"
Cortistatin,Cortistatin,Somatostatin receptor 4,Cort,Sstr4,neuropeptide,"Neuromodulation",ARH;PVH,"Shared with somatostatin"
Cortistatin,Cortistatin,Somatostatin receptor 5,Cort,Sstr5,neuropeptide,"GH/TSH modulation",ARH;PVH;ME,"Shared with somatostatin"
Cortistatin,Cortistatin,Ghrelin receptor,Cort,Ghsr,neuropeptide,"Sleep promotion, GH modulation",ARH;PVH;LHA,"Unique to cortistatin vs SST; partial agonist"
Cortistatin,Cortistatin,MrgprA1 (mouse),Cort,Mrgpra1,neuropeptide,"Itch, sensory modulation",LHA,"Mouse ortholog of human MRGX2; less characterized in hypothalamus"
Gastrin-releasing peptide,Gastrin-releasing peptide,GRP receptor (BB2),Grp,Grpr,neuropeptide,"Circadian rhythm output, satiety, stress response, itch",SCH;DMH;PVH;VMH;ARH,"Critical in SCN for circadian signaling; co-expressed with VIP"
Gastrin-releasing peptide,Gastrin-releasing peptide,Bombesin receptor 3,Grp,Brs3,neuropeptide,"Energy homeostasis, thermoregulation, metabolic rate",DMH;ARH;PVH;VMH,"Orphan receptor; Brs3-KO causes obesity; lower affinity for GRP than GRPR"
Neuromedin B,Neuromedin B,Neuromedin B receptor (BB1),Nmb,Nmbr,neuropeptide,"Thermoregulation, stress, smooth muscle, feeding",DMH;PVH;ARH;VMH;SCH,"Bombesin-like peptide family"
Neuromedin B,Neuromedin B,Bombesin receptor 3,Nmb,Brs3,neuropeptide,"Energy homeostasis, body temperature",DMH;ARH;PVH,"Lower affinity than at Nmbr"
Prokineticin 2,Prokineticin 2,Prokineticin receptor 1,Prok2,Prokr1,neuropeptide,"Circadian output, angiogenesis, pain",SCH;ARH;DMH,"Lower hypothalamic expression than Prokr2"
Prokineticin 2,Prokineticin 2,Prokineticin receptor 2,Prok2,Prokr2,neuropeptide,"PRIMARY circadian output signal from SCN, feeding, reproduction",SCH;ARH;DMH;PVH;MPO,"Critical clock output; Prok2-KO disrupts behavioral rhythms; also called PK2"
PTHrP,PTHrP,PTH1 receptor,Pthlh,Pth1r,neuropeptide,"Calcium sensing, energy homeostasis, placental calcium transport",ARH;VMH;PVH;DMH,"Also binds PTH; expressed in multiple hypothalamic nuclei; role in feeding less characterized"
PTHrP,PTHrP,PTH2 receptor,Pthlh,Pth2r,neuropeptide,"Neuromodulation, nociception",PVH;ARH;LHA,"TIP39 is preferred ligand; PTHrP has lower affinity"
TIP39,TIP39,PTH2 receptor,Pth2,Pth2r,neuropeptide,"Thermoregulation, nociception, stress, maternal behavior, auditory processing",PH;PVH;MPO;LPO;ARH,"Primary endogenous ligand for Pth2r; TIP39 neurons in posterior hypothalamus/PIL; modulates body temperature setpoint"
Adrenomedullin,Adrenomedullin,AM1 receptor,Adm,Calcrl;Ramp2,neuropeptide,"Vasodilation, fluid homeostasis, cardiovascular, neuroprotection",PVH;SO;ARH;SFO;ME;LHA,"CRLR/RAMP2 complex = AM1; widely expressed; hypotensive"
Adrenomedullin,Adrenomedullin,AM2 receptor,Adm,Calcrl;Ramp3,neuropeptide,"Vasodilation, lymphatic function",PVH;SO;ARH;SFO,"CRLR/RAMP3 complex = AM2; overlapping with AM1"
Adrenomedullin,Adrenomedullin 2/Intermedin,AM1 receptor,Adm2,Calcrl;Ramp2,neuropeptide,"Cardiovascular, feeding suppression",PVH;ARH;DMH,"Also called intermedin; related peptide"
Adrenomedullin,Adrenomedullin 2/Intermedin,AM2 receptor,Adm2,Calcrl;Ramp3,neuropeptide,"Cardiovascular regulation",PVH;ARH,"Binds both AM receptors"
Angiotensin,Angiotensin II,AT1A receptor,Agt,Agtr1a,neuropeptide,"Thirst, sodium appetite, blood pressure, stress, vasopressin release",SFO;PVH;SO;ARH;LHA;DMH;ME,"Agt is precursor; Ang II generated by ACE; primary central receptor"
Angiotensin,Angiotensin II,AT1B receptor,Agt,Agtr1b,neuropeptide,"Blood pressure, fluid balance",SFO;PVH;SO,"Mouse has two AT1 subtypes (a and b)"
Angiotensin,Angiotensin II,AT2 receptor,Agt,Agtr2,neuropeptide,"Vasodilation, anti-proliferative, neuroprotection",PVH;ARH;SO;SFO,"Opposes AT1 effects; developmental"
Angiotensin,Angiotensin III,AT1A receptor,Agt,Agtr1a,neuropeptide,"Vasopressin release, thirst",SFO;PVH;SO,"Ang III from Ang II cleavage; similar effects"
Angiotensin,Angiotensin-(1-7),Mas receptor,Agt,Mas1,neuropeptide,"Counter-regulatory to Ang II, vasodilation, cardioprotection",PVH;SFO;ARH,"ACE2 pathway product; Mas1 receptor"
Apelin,Apelin,APJ receptor,Apln,Aplnr,neuropeptide,"Fluid homeostasis, feeding, cardiovascular, glucose metabolism",PVH;SO;ARH;SFO;DMH;SCH;LHA,"Apelin-13, -17, -36 from same gene; opposes AVP; expressed in magnocellular neurons"
Apela/ELABELA,Apela/ELABELA,APJ receptor,Apela,Aplnr,neuropeptide,"Cardiovascular development, fluid balance",PVH;SO;ARH,"Second endogenous APJ ligand; developmental roles"
CGRP-β,CGRP-β,CGRP receptor,Calcb,Calcrl;Ramp1,neuropeptide,"Vasodilation, migraine, thermoregulation",PVH;DMH;ARH;LHA;MPO,"CRLR/RAMP1 = CGRP receptor; Calcb vs Calca (CGRP-α); similar functions"
CGRP-β,CGRP-β,AMY1 receptor,Calcb,Calr;Ramp1,neuropeptide,"Feeding, glucose homeostasis",ARH;PVH;DMH,"Calcitonin receptor/RAMP1; amylin receptor cross-reactivity"
Endothelin-1,Endothelin-1,ETA receptor,Edn1,Ednra,neuropeptide,"Vasoconstriction, feeding, neuroendocrine, blood pressure",PVH;SO;ARH;ME;SFO;LHA,"Most potent vasoconstrictor; ETA in smooth muscle/neurons"
Endothelin-1,Endothelin-1,ETB receptor,Edn1,Ednrb,neuropeptide,"Vasodilation (via NO), ET clearance",PVH;SO;ME;ARH,"ETB on endothelium releases NO; also clearance receptor"
Endothelin-3,Endothelin-3,ETA receptor,Edn3,Ednra,neuropeptide,"Vasoconstriction",PVH;SO;ARH,"Lower affinity for ETA than ET-1"
Endothelin-3,Endothelin-3,ETB receptor,Edn3,Ednrb,neuropeptide,"Neural crest development, melanocyte",PVH;SO;ARH;ME,"Equal affinity at ETB; Edn3/Ednrb mutations → Hirschsprung"
Gastrin,Gastrin,CCK-B receptor,Gast,Cckbr,neuropeptide,"Anxiety, memory, panic, neuromodulation",PVH;VMH;DMH;ARH,"Shares receptor with CCK; primarily gut hormone; low CNS expression"
GLP,Glucagon,Glucagon receptor,Gcg,Gcgr,neuropeptide,"Glucose counterregulation, hepatic output",PVH;ARH;VMH;DMH,"Primarily peripheral; some central Gcgr"
GLP,GLP-1,GLP-1 receptor,Gcg,Glp1r,neuropeptide,"Satiety, glucose-dependent insulin, neuroprotection, anorexia",PVH;ARH;DMH;LHA;VMH;ME,"MAJOR incretin; semaglutide/liraglutide target; NTS neurons project to HY"
GLP,GLP-2,GLP-2 receptor,Gcg,Glp2r,neuropeptide,"Intestinal growth, neuroprotection",ARH;DMH;PVH,"Less characterized centrally; gut trophic"
GLP,Oxyntomodulin,GLP-1 receptor,Gcg,Glp1r,neuropeptide,"Satiety, weight loss",ARH;PVH;DMH,"Dual GLP1R/GCGR agonist; from proglucagon"
GLP,Oxyntomodulin,Glucagon receptor,Gcg,Gcgr,neuropeptide,"Energy expenditure",ARH;PVH,"Weaker than glucagon at GCGR"
NPFF,NPFF,NPFF1 receptor,Npff,Npffr1,neuropeptide,"Pain modulation, opioid tolerance, cardiovascular",PVH;ARH;DMH;LHA;SO,"Anti-opioid effects; modulates morphine analgesia"
NPFF,NPFF,NPFF2 receptor,Npff,Npffr2,neuropeptide,"Pain, feeding, neuroendocrine",ARH;PVH;DMH;VMH;LHA,"Higher hypothalamic expression than Npffr1"
NPFF,NPAF,NPFF1 receptor,Npff,Npffr1,neuropeptide,"Pain modulation",PVH;ARH,"NPAF also from Npff gene (neuropeptide AF)"
NPFF,NPAF,NPFF2 receptor,Npff,Npffr2,neuropeptide,"Neuromodulation",ARH;PVH,"Co-processed with NPFF"
RFRP,RFRP-1,NPFF1 receptor,Npvf,Npffr1,neuropeptide,"GnRH inhibition, reproduction, feeding",DMH;PVH;ARH;VMH,"RFamide-related peptide; mammalian GnIH ortholog"
RFRP,RFRP-3/GnIH,NPFF1 receptor,Npvf,Npffr1,neuropeptide,"GnRH/LH inhibition, stress-reproduction link, feeding",DMH;PVH;ARH;VMH;AVPV,"PRIMARY GnRH inhibitor; RFRP neurons in DMH; inhibits Kiss1 neurons"
RFRP,RFRP-1,NPFF2 receptor,Npvf,Npffr2,neuropeptide,"Reproduction modulation",DMH;ARH;PVH,"Lower affinity"
RFRP,RFRP-3/GnIH,NPFF2 receptor,Npvf,Npffr2,neuropeptide,"Reproduction, feeding",DMH;ARH;PVH;VMH,"Cross-reactivity with NPFF system"
PYY,PYY,NPY Y1 receptor,Pyy,Npy1r,neuropeptide,"Satiety, feeding inhibition",ARH;PVH;DMH;LHA,"Gut-derived; crosses BBB as PYY3-36"
PYY,PYY,NPY Y2 receptor,Pyy,Npy2r,neuropeptide,"PRIMARY satiety receptor, inhibits AgRP/NPY",ARH;PVH;DMH;LHA;VMH,"PYY3-36 high affinity at Y2; inhibits feeding via ARH"
PYY,PYY,NPY Y4 receptor,Pyy,Npy4r,neuropeptide,"Feeding, pancreatic secretion",ARH;PVH;DMH,"Also PP receptor"
PYY,PYY,NPY Y5 receptor,Pyy,Npy5r,neuropeptide,"Feeding regulation",ARH;PVH;DMH;LHA,"Lower affinity than Y2"
Urotensin 2B,Urotensin 2B,Urotensin 2 receptor,Uts2b,Uts2r,neuropeptide,"Vasoconstriction, cardiac function, REM sleep, feeding",PVH;ARH;DMH;LHA;MPO,"Related to Uts2; both bind Uts2r; involved in sleep architecture"
Urotensin 2,Urotensin 2,Urotensin 2 receptor,Uts2,Uts2r,neuropeptide,"Most potent vasoconstrictor known, cardiovascular, feeding",PVH;ARH;LHA;DMH,"Adding Uts2 for completeness; Uts2r widely expressed"
