acronym,full_name,division,description
BST,Bed nuclei of the stria terminalis,PAL,"Extended amygdala structure mediating sustained anxiety and stress responses. Integrates limbic and hypothalamic circuits for autonomic and neuroendocrine output."
CEA,Central amygdalar nucleus,STR,"Major output nucleus of the amygdala controlling fear and anxiety responses. Projects to brainstem and hypothalamus for autonomic and behavioral defense reactions."
CL,Central lateral nucleus of thalamus,TH,"Intralaminar thalamic nucleus involved in arousal and attention. Projects broadly to the striatum and cortex to modulate wakefulness."
CM,Central medial nucleus of thalamus,TH,"Midline thalamic nucleus projecting to the prefrontal cortex and striatum. Involved in arousal, cognitive flexibility, and limbic processing."
CP,Caudoputamen,STR,"The dorsal striatum in rodents, integrating cortical inputs for action selection and motor planning. Contains medium spiny neurons of the direct and indirect basal ganglia pathways."
Eth,Endopiriform nucleus of thalamus,TH,"Transitional structure between the piriform cortex and deeper brain regions. Processes olfactory information and may contribute to seizure propagation."
FS,Fundus of striatum,STR,"Ventral extension of the striatum bridging the caudate-putamen and nucleus accumbens. Contains medium spiny neurons involved in limbic-motor integration."
GPe,Globus pallidus external segment,PAL,"Basal ganglia nucleus in the indirect pathway that modulates motor output. GABAergic neurons project to the subthalamic nucleus to regulate movement."
GPi,Globus pallidus internal segment,PAL,"Principal output nucleus of the basal ganglia. Tonically inhibits thalamic motor centers; reduced activity permits voluntary movement initiation."
HY-unassigned,Hypothalamus unassigned,HY,"Hypothalamic cells not mapped to a specific nucleus. May reside in transitional zones or diffuse hypothalamic areas."
IA,Intercalated amygdalar nucleus,STR,"Clusters of GABAergic neurons gating information flow between amygdala nuclei. Modulate fear learning and extinction by inhibiting central amygdala output."
IAD,Interanterodorsal nucleus of thalamus,TH,"Small nucleus between anterior thalamic nuclei. Relays limbic information and contributes to head direction and spatial processing circuits."
IAM,Interanteromedial nucleus of thalamus,TH,"Transitional thalamic nucleus between anterior and midline groups. Involved in limbic relay functions connecting hippocampus and prefrontal cortex."
IGL,Intergeniculate leaflet,TH,"Thin layer between dorsal and ventral lateral geniculate nuclei. Relays photic and non-photic information to the suprachiasmatic nucleus for circadian entrainment."
IMD,Intermediodorsal nucleus of thalamus,TH,"Midline thalamic nucleus projecting to prefrontal cortex. Involved in cognitive and limbic processing, particularly reward-related decision making."
IntG,Intermediate geniculate nucleus,TH,"Transitional zone within the geniculate complex. Contributes to auditory and multisensory processing in the thalamus."
LD,Lateral dorsal nucleus of thalamus,TH,"Thalamic nucleus relaying spatial and visual information to retrosplenial cortex. Involved in spatial orientation and navigation."
LGd,Dorsal lateral geniculate nucleus,TH,"Primary thalamic relay for visual information from the retina to visual cortex. Organized in layers that process information from each eye."
LGv,Ventral lateral geniculate nucleus,TH,"Non-image-forming visual processing center. Involved in circadian photoentrainment and visuomotor responses rather than conscious vision."
LH,Lateral habenula,TH,"Epithalamic structure encoding negative reward signals and aversion. Inhibits dopamine and serotonin neurons; hyperactivity is implicated in depression."
LM,Lateral mammillary nucleus,HY,"Mammillary body subdivision processing head direction signals. Projects to the anterior thalamus to support spatial navigation and memory."
LP,Lateral posterior nucleus of thalamus,TH,"Higher-order visual thalamic nucleus integrating cortical and tectal inputs. Involved in visual attention and processing of complex visual features."
LSc,Lateral septal nucleus caudal part,STR,"Caudal division of the lateral septum involved in emotional regulation. Modulates stress responses and social behavior via hypothalamic projections."
LSr,Lateral septal nucleus rostral part,STR,"Rostral division of the lateral septum processing hippocampal inputs. Involved in reward, social behavior, and modulation of anxiety."
LSv,Lateral septal nucleus ventral part,STR,"Ventral division of the lateral septum with dense hypothalamic connections. Regulates feeding, aggression, and autonomic function."
MA,Magnocellular nucleus,PAL,"Large-celled nucleus in the basal forebrain. Part of the cholinergic system providing modulatory input to cortex and hippocampus."
MD,Mediodorsal nucleus of thalamus,TH,"Major thalamic relay to prefrontal cortex. Critical for working memory, decision making, and flexible goal-directed behavior."
MEPO,Median preoptic nucleus,HY,"Midline preoptic nucleus involved in fluid homeostasis and thermoregulation. Integrates osmotic signals from circumventricular organs to regulate thirst and vasopressin release."
MG,Medial geniculate complex,TH,"Thalamic relay for auditory information from the inferior colliculus to auditory cortex. Organized tonotopically for frequency-specific sound processing."
MH,Medial habenula,TH,"Epithalamic nucleus projecting to the interpeduncular nucleus via the fasciculus retroflexus. Involved in aversion, nicotine withdrawal, and fear processing."
MM,Medial mammillary nucleus,HY,"Largest mammillary body subdivision relaying hippocampal information through the anterior thalamus. Critical for spatial and episodic memory consolidation."
MS,Medial septal nucleus,PAL,"Pacemaker for hippocampal theta rhythm via cholinergic and GABAergic projections. Essential for spatial learning and memory encoding."
NDB,Diagonal band nucleus,PAL,"Basal forebrain cholinergic and GABAergic neurons projecting to hippocampus and cortex. Modulates attention, arousal, and memory consolidation."
OT,Olfactory tubercle,STR,"Ventral striatal structure receiving direct olfactory bulb input. Integrates olfactory and reward information; contains the Islands of Calleja."
OV,Vascular organ of the lamina terminalis,HY,"Circumventricular organ lacking a blood-brain barrier. Senses blood osmolality and angiotensin II to regulate thirst and vasopressin secretion."
PAL-unassigned,Pallidum unassigned,PAL,"Pallidal cells not mapped to a specific nucleus. May reside in transitional pallidal zones."
PCN,Paracentral nucleus of thalamus,TH,"Intralaminar thalamic nucleus involved in arousal and pain processing. Projects to the striatum and cortex to modulate attention and somatosensory integration."
PD,Posterodorsal preoptic nucleus,HY,"Dorsal preoptic region at the diencephalic-telencephalic boundary. Involved in autonomic regulation and sleep-wake transitions."
PF,Parafascicular nucleus,TH,"Intralaminar thalamic nucleus with major striatal projections. Involved in attention, action monitoring, and behavioral switching; modulates cholinergic interneurons."
PIL,Posterior intralaminar thalamic nucleus,TH,"Caudal intralaminar nucleus relaying multisensory and nociceptive information. Projects to the amygdala and striatum for affective and motor processing."
PO,Posterior thalamic nuclear group,TH,"Higher-order somatosensory thalamic relay integrating whisker and pain information. Projects to secondary somatosensory and motor cortices."
POL,Posterior limiting nucleus of thalamus,TH,"Thalamic nucleus at the caudal border of the thalamus. Involved in multisensory integration and nociceptive processing."
PP,Peripeduncular nucleus,TH,"Small nucleus near the cerebral peduncle. Processes auditory and multisensory information with connections to the amygdala."
PR,Perireuniens nucleus,TH,"Small midline thalamic nucleus adjacent to nucleus reuniens. Contributes to hippocampal-prefrontal communication and contextual memory."
PS,Parastrial nucleus,HY,"Preoptic region near the stria terminalis. Involved in reproductive and social behaviors via connections with the extended amygdala."
PST,Parasubthalamic nucleus,HY,"Small nucleus adjacent to the subthalamic nucleus. Involved in feeding behavior and autonomic regulation with hypothalamic and brainstem connections."
PSTN,Parasubthalamic nucleus,HY,"Hypothalamic nucleus lateral to the subthalamic nucleus. Contains neurons responsive to appetite-suppressing signals and stress."
PT,Parataenial nucleus of thalamus,TH,"Midline thalamic nucleus projecting to the nucleus accumbens and prefrontal cortex. Involved in reward processing and motivation."
PVT,Paraventricular nucleus of thalamus,TH,"Midline thalamic nucleus integrating stress, arousal, and reward signals. Projects to prefrontal cortex and nucleus accumbens; regulates emotional and motivated behavior."
PVa,Periventricular hypothalamic nucleus anterior part,HY,"Anterior periventricular zone containing neuroendocrine neurons. Involved in regulation of pituitary hormone release."
PeF,Perifornical area,HY,"Hypothalamic region surrounding the fornix containing orexin neurons. Critical for arousal, feeding, and the fight-or-flight response."
PoT,Posterior triangular thalamic nucleus,TH,"Small posterior thalamic nucleus involved in multisensory processing. Relays auditory and somatosensory information to the cortex."
RCH,Retrochiasmatic area,HY,"Hypothalamic region posterior to the optic chiasm. Contains scattered neurons involved in circadian and neuroendocrine regulation."
RE,Nucleus reuniens,TH,"Midline thalamic nucleus providing the major thalamic input to the hippocampus. Critical for memory consolidation and hippocampal-prefrontal cortex communication."
RH,Rhomboid nucleus of thalamus,TH,"Midline thalamic nucleus involved in arousal and limbic processing. Projects to prefrontal cortex and hippocampus to modulate attention and memory."
RT,Reticular nucleus of thalamus,TH,"GABAergic shell surrounding the thalamus that gates thalamocortical information flow. Generates sleep spindles and regulates attentional filtering."
SBPV,Subparaventricular zone,HY,"Hypothalamic region ventral to the paraventricular nucleus receiving SCN output. Relays circadian timing signals to regulate daily rhythms in behavior and physiology."
SF,Septofimbrial nucleus,STR,"Small septal nucleus at the fimbria-fornix junction. Involved in modulating hippocampal activity and spatial memory processing."
SGN,Suprageniculate nucleus,TH,"Thalamic nucleus dorsal to the medial geniculate. Involved in multimodal sensory processing, particularly auditory and somatosensory integration."
SH,Septohippocampal nucleus,STR,"Septal neurons projecting to the hippocampus. Part of the cholinergic and GABAergic circuitry supporting theta rhythm and memory."
SI,Substantia innominata,PAL,"Basal forebrain region containing cholinergic neurons of the nucleus basalis of Meynert. Provides cortical acetylcholine for attention and arousal; degenerates in Alzheimer's disease."
SMT,Submedial nucleus of thalamus,TH,"Small thalamic nucleus ventral to the mediodorsal nucleus. Projects to orbital cortex and involved in olfactory and visceral processing."
SPA,Subparafascicular area,TH,"Region near the parafascicular nucleus in the thalamus. Involved in processing nociceptive and reproductive-related sensory information."
SPFm,Subparafascicular nucleus magnocellular part,TH,"Thalamic nucleus with large neurons processing genital somatosensory information. Involved in reproductive physiology and ejaculation circuits."
SPFp,Subparafascicular nucleus parvicellular part,TH,"Small-celled subdivision of the subparafascicular nucleus. Processes auditory and multimodal sensory information with limbic connections."
STR-unassigned,Striatum unassigned,STR,"Striatal cells not mapped to a specific nucleus. May reside in transitional zones within the striatal complex."
SUM,Supramammillary nucleus,HY,"Hypothalamic nucleus projecting to the hippocampus to modulate theta rhythm. Involved in spatial memory, arousal, and reward processing."
SubG,Subgeniculate nucleus,TH,"Small nucleus below the geniculate complex. Contributes to visual and multimodal sensory processing."
TH-unassigned,Thalamus unassigned,TH,"Thalamic cells not mapped to a specific nucleus. May reside in fiber tracts or transitional zones within the thalamus."
TMd,Tuberomammillary nucleus dorsal part,HY,"Contains histaminergic neurons that promote wakefulness. Projects broadly throughout the brain to maintain cortical arousal."
TMv,Tuberomammillary nucleus ventral part,HY,"Ventral histaminergic population contributing to wake promotion. Works with the dorsal part to regulate the sleep-wake cycle."
TRS,Triangular nucleus of septum,PAL,"Small septal nucleus involved in modulating hippocampal and limbic activity. Part of the septal complex regulating emotional and cognitive processing."
VAL,Ventral anterior-lateral complex of thalamus,TH,"Motor thalamic relay receiving basal ganglia and cerebellar output. Critical for planning and execution of voluntary movements."
VLPO,Ventrolateral preoptic area,HY,"Primary sleep-promoting nucleus containing galanin/GABA neurons. Inhibits arousal centers during sleep; damage causes severe insomnia."
VM,Ventral medial nucleus of thalamus,TH,"Motor thalamic nucleus receiving basal ganglia input. Involved in orofacial movements and motivated behavior via projections to motor and prefrontal cortex."
VMPO,Ventromedial preoptic area,HY,"Preoptic region activated by inflammatory signals. Mediates fever response and sickness behavior through prostaglandin signaling."
VPL,Ventral posterolateral nucleus of thalamus,TH,"Primary somatosensory thalamic relay for body sensation. Receives spinothalamic and dorsal column-medial lemniscus inputs for touch and pain."
VPLpc,Ventral posterolateral nucleus parvicellular part,TH,"Small-celled division of VPL processing nociceptive and thermal information. Projects to insular and secondary somatosensory cortex."
VPM,Ventral posteromedial nucleus of thalamus,TH,"Primary somatosensory thalamic relay for face and oral cavity. Receives trigeminal inputs for whisker and facial touch sensation."
VPMpc,Ventral posteromedial nucleus parvicellular part,TH,"Gustatory thalamic relay receiving taste information from the brainstem. Projects to the insular gustatory cortex."
Xi,Xiphoid thalamic nucleus,TH,"Midline thalamic nucleus at the ventral surface. Involved in fear memory retrieval and extinction via projections to prefrontal cortex and amygdala."
P-unassigned,Pons unassigned,P,"Pontine cells not mapped to a specific nucleus. May reside in transitional zones or fiber tracts within the pons."
MY-unassigned,Medulla unassigned,MY,"Medullary cells not mapped to a specific nucleus. May reside in transitional zones or fiber tracts within the medulla."
ACVII,Accessory facial motor nucleus,MY,"Small motor nucleus supplementing the facial nerve. Contains neurons innervating a subset of facial muscles."
AMB,Nucleus ambiguus,MY,"Motor nucleus innervating laryngeal and pharyngeal muscles for swallowing and vocalization. Also contains cardiac vagal neurons that regulate heart rate."
AP,Area postrema,MY,"Circumventricular organ in the dorsal medulla lacking a blood-brain barrier. Acts as the chemoreceptor trigger zone for emesis and senses circulating toxins and hormones."
Acs5,Accessory trigeminal nucleus,P,"Small nucleus associated with the trigeminal motor system. Contributes to reflex jaw movements and proprioceptive processing from masticatory muscles."
B,Barrington's nucleus,P,"Pontine micturition center controlling bladder function. Projects to sacral parasympathetic neurons to initiate urination."
CS,Superior central nucleus raphe,P,"Serotonergic nucleus in the pontine raphe. Modulates mood, anxiety, and sleep through widespread ascending projections."
CU,Cuneate nucleus,MY,"Dorsal column relay for fine touch and proprioception from the upper body. Second-order sensory neurons project to the thalamus via the medial lemniscus."
DCO,Dorsal cochlear nucleus,MY,"Auditory brainstem nucleus receiving input from the cochlear nerve. Integrates auditory and somatosensory signals for sound localization and spectral processing."
DMX,Dorsal motor nucleus of the vagus,MY,"Parasympathetic preganglionic motor nucleus controlling visceral organs. Regulates gastrointestinal motility, secretion, and cardiac function via the vagus nerve."
DTN,Dorsal tegmental nucleus,P,"Pontine nucleus involved in head direction signaling and spatial navigation. Receives vestibular and limbic inputs and projects to the mammillary bodies."
ECU,External cuneate nucleus,MY,"Relays proprioceptive information from the upper limbs to the cerebellum. Equivalent of Clarke's column for forelimb spinocerebellar input."
GRN,Gigantocellular reticular nucleus,MY,"Largest medullary reticular formation nucleus with diverse motor and autonomic functions. Contains neurons involved in posture, locomotion, and cardiovascular regulation."
I5,Intertrigeminal nucleus,P,"Small nucleus between the trigeminal motor and principal sensory nuclei. Involved in trigeminal reflex circuits and orofacial sensorimotor integration."
ICB,Infracerebellar nucleus,MY,"Small nucleus at the ventral border of the cerebellum. Contributes to cerebellar input processing and vestibular-cerebellar communication."
IO,Inferior olivary complex,MY,"Principal source of climbing fibers to the cerebellar cortex. Critical for motor learning, error correction, and timing of coordinated movements."
IRN,Intermediate reticular nucleus,MY,"Medullary reticular formation involved in autonomic regulation and premotor functions. Contains interneurons coordinating respiratory, cardiovascular, and orofacial motor patterns."
ISN,Inferior salivatory nucleus,MY,"Parasympathetic nucleus providing preganglionic innervation to the parotid gland via the glossopharyngeal nerve. Regulates salivary secretion."
LAV,Lateral vestibular nucleus,MY,"Vestibular nucleus (Deiters' nucleus) controlling postural reflexes. Projects to the spinal cord via the lateral vestibulospinal tract to maintain balance and upright posture."
LC,Locus coeruleus,P,"Principal noradrenergic nucleus of the brain with widespread projections. Modulates arousal, attention, stress responses, and memory consolidation."
LDT,Laterodorsal tegmental nucleus,P,"Cholinergic and glutamatergic nucleus involved in REM sleep regulation and reward. Projects to the ventral tegmental area and thalamus to modulate arousal states."
LIN,Linear nucleus of the medulla,MY,"Small reticular formation nucleus in the medulla. Contributes to autonomic and motor integration within the brainstem reticular network."
LRN,Lateral reticular nucleus,MY,"Precerebellar nucleus relaying spinal and brainstem motor information to the cerebellum. Important for limb coordination and motor adaptation."
MARN,Magnocellular reticular nucleus,MY,"Large-celled reticular formation nucleus involved in motor coordination. Contains neurons with widespread projections modulating spinal motor circuits."
MDRN,Medullary reticular nucleus,MY,"Caudal reticular formation involved in autonomic and somatic motor functions. Contains interneurons coordinating reflexes and rhythmic motor patterns."
MV,Medial vestibular nucleus,MY,"Largest vestibular nucleus processing signals from semicircular canals. Mediates the vestibulo-ocular reflex and coordinates eye-head movements."
NI,Nucleus incertus,P,"Pontine nucleus containing relaxin-3 neurons. Modulates arousal, stress responses, hippocampal theta rhythm, and feeding behavior."
NLL,Nucleus of the lateral lemniscus,P,"Auditory relay nuclei along the lateral lemniscus pathway. Processes temporal features of sound including gap detection and amplitude modulation."
NR,Nucleus of Roller,MY,"Small nucleus near the hypoglossal nucleus. Involved in orofacial motor control and vestibular-related reflexes."
NTB,Nucleus of the trapezoid body,MY,"Auditory brainstem nucleus containing principal neurons of the medial superior olive circuit. Critical for computing interaural time differences for sound localization."
NTS,Nucleus of the solitary tract,MY,"Primary visceral sensory nucleus receiving taste and cardiorespiratory afferents. Integrates gustatory, baroreceptor, and chemoreceptor information for autonomic regulation."
P5,Peritrigeminal zone,P,"Region surrounding the trigeminal nuclei containing scattered neurons. Involved in modulation of trigeminal sensory processing and orofacial pain."
PARN,Parvicellular reticular nucleus,MY,"Small-celled reticular formation involved in orofacial motor control and autonomic function. Contains premotor neurons for facial, hypoglossal, and trigeminal motor nuclei."
PAS,Parasolitary nucleus,MY,"Small nucleus adjacent to the solitary tract. Processes visceral sensory information and contributes to autonomic reflex circuits."
PB,Parabrachial nucleus,P,"Pontine relay for visceral sensory information including taste, pain, and temperature. Projects to the amygdala, hypothalamus, and thalamus for interoceptive processing."
PC5,Parvicellular motor trigeminal nucleus,P,"Small-celled division of the trigeminal motor nucleus. Controls fine movements of the jaw and contributes to masticatory reflexes."
PCG,Pontine central gray,P,"Periventricular gray matter of the pons. Involved in pain modulation, defensive behaviors, and autonomic regulation, similar to the periaqueductal gray."
PDTg,Posterodorsal tegmental nucleus,P,"Pontine tegmental nucleus involved in sleep-wake regulation. Contains neurons modulating arousal state transitions and REM sleep."
PG,Pontine gray,P,"Corticopontine relay nuclei projecting mossy fibers to the cerebellum. Receives massive cortical input and is critical for cerebellar motor learning and coordination."
PGRNd,Paragigantocellular reticular nucleus dorsal,MY,"Dorsal division of the paragigantocellular nucleus. Involved in cardiovascular regulation and sympathetic control of blood pressure."
PGRNl,Paragigantocellular reticular nucleus lateral,MY,"Lateral reticular formation adjacent to the gigantocellular nucleus. Contains premotor sympathetic neurons and respiratory interneurons."
PPY,Parapyramidal nucleus,MY,"Medullary nucleus near the pyramidal tract containing serotonergic neurons. Involved in respiratory modulation and sympathetic regulation."
PRNc,Pontine reticular nucleus caudal,P,"Caudal pontine reticular formation involved in motor coordination and startle reflexes. Contains neurons mediating the acoustic startle response and postural control."
PRNr,Pontine reticular nucleus rostral,P,"Oral (rostral) pontine reticular formation involved in REM sleep and motor control. Contains neurons generating rapid eye movements and muscle atonia during REM."
PRP,Prepositus nucleus,MY,"Nucleus prepositus hypoglossi involved in gaze holding and eye position signals. Acts as a neural integrator converting eye velocity to position commands."
PSV,Principal sensory nucleus of the trigeminal,P,"Primary relay for fine touch and tactile discrimination from the face. Equivalent of the dorsal column nuclei for trigeminal somatosensory information."
Pa5,Paratrigeminal nucleus,MY,"Small nucleus adjacent to the spinal trigeminal tract. Processes visceral and nociceptive information from the face and upper airway."
RM,Nucleus raphe magnus,MY,"Serotonergic medullary raphe nucleus involved in descending pain modulation. Projects to the spinal dorsal horn to gate nociceptive transmission."
RO,Nucleus raphe obscurus,MY,"Serotonergic raphe nucleus projecting to the spinal cord and brainstem. Modulates autonomic functions including respiratory rhythm and sympathetic outflow."
RPA,Nucleus raphe pallidus,MY,"Caudal serotonergic raphe nucleus projecting to the spinal cord. Involved in thermoregulation, particularly activation of brown adipose tissue for heat generation."
RPO,Nucleus raphe pontis,P,"Pontine serotonergic raphe nucleus with projections to the cerebellum. Modulates cerebellar processing and contributes to motor coordination."
SG,Supragenual nucleus,P,"Small pontine nucleus near the genu of the facial nerve. Involved in vestibular processing and eye movement coordination."
SLC,Subceruleus nucleus,P,"Pontine nucleus adjacent to the locus coeruleus. Contains noradrenergic and other neurons contributing to arousal and REM sleep regulation."
SLD,Sublaterodorsal nucleus,P,"Pontine nucleus critical for generating REM sleep muscle atonia. Glutamatergic neurons project to inhibitory spinal interneurons to suppress movement during dreaming."
SOC,Superior olivary complex,P,"Auditory brainstem nuclei computing interaural time and level differences for sound localization. First station for binaural hearing in the ascending auditory pathway."
SPIV,Spinal vestibular nucleus,MY,"Caudal vestibular nucleus extending into the upper spinal cord. Processes vestibular signals for postural reflexes and vestibulospinal motor control."
SPVC,Spinal nucleus of the trigeminal caudal part,MY,"Caudal division processing pain and temperature from the face. Functionally analogous to the spinal dorsal horn for trigeminal nociception."
SPVI,Spinal nucleus of the trigeminal interpolar part,MY,"Intermediate division of the spinal trigeminal nucleus. Processes dental pain and contributes to orofacial reflex circuits."
SPVO,Spinal nucleus of the trigeminal oral part,MY,"Rostral division processing tactile and nociceptive information from the oral cavity. Involved in intraoral sensorimotor integration and dental reflexes."
SUT,Supratrigeminal nucleus,P,"Nucleus dorsal to the trigeminal motor nucleus. Contains interneurons for jaw-opening reflexes and coordination of mastication."
SUV,Superior vestibular nucleus,MY,"Vestibular nucleus primarily receiving semicircular canal input. Mediates the vestibulo-ocular reflex and projects to oculomotor nuclei for gaze stabilization."
TRN,Tegmental reticular nucleus,P,"Pontine reticular nucleus projecting to the cerebellum and oculomotor centers. Involved in saccadic eye movements and cerebellar-dependent motor learning."
V,Motor nucleus of the trigeminal,P,"Motor nucleus innervating muscles of mastication via the trigeminal nerve. Controls jaw opening, closing, and lateral movements for chewing."
VCO,Ventral cochlear nucleus,MY,"Auditory brainstem nucleus receiving primary cochlear nerve input. Contains diverse neuron types that encode different temporal and spectral features of sound."
VI,Abducens nucleus,MY,"Motor nucleus innervating the lateral rectus muscle for eye abduction. Also contains internuclear neurons coordinating conjugate horizontal eye movements."
VII,Facial motor nucleus,MY,"Motor nucleus innervating muscles of facial expression via the facial nerve. Controls blinking, lip movements, and emotional facial expressions."
XII,Hypoglossal nucleus,MY,"Motor nucleus innervating tongue muscles via the hypoglossal nerve. Essential for tongue movements during speech, swallowing, and feeding."
x,Nucleus x,MY,"Small reticular formation nucleus in the medulla. Part of the brainstem reticular network contributing to autonomic and motor integration."
y,Nucleus y,MY,"Small nucleus associated with the vestibular complex. Involved in vestibulo-cerebellar processing and eye movement coordination."
MB-unassigned,Midbrain unassigned,MB,"Midbrain cells not mapped to a specific nucleus. May reside in transitional zones or fiber tracts within the midbrain."
SCm,Superior colliculus motor related,MB,"Deep layers of the superior colliculus generating orienting movements of the eyes, head, and body toward salient stimuli. Integrates multisensory inputs to drive saccades and defensive responses."
SCs,Superior colliculus sensory related,MB,"Superficial layers of the superior colliculus receiving direct retinal input. Constructs a retinotopic map of visual space for detecting and localizing visual stimuli."
IC,Inferior colliculus,MB,"Principal midbrain auditory relay integrating ascending inputs from multiple brainstem nuclei. Organized tonotopically and critical for sound localization and temporal processing."
PAG,Periaqueductal gray,MB,"Central gray matter surrounding the cerebral aqueduct. Master coordinator of defensive behaviors, pain modulation, vocalization, and autonomic responses via descending projections."
MRN,Midbrain reticular nucleus,MB,"Reticular formation of the midbrain involved in arousal, locomotion, and posture. Contains neurons modulating ascending and descending motor and sensory pathways."
APN,Anterior pretectal nucleus,MB,"Pretectal nucleus involved in nociceptive modulation and somatosensory processing. Produces descending analgesia and modulates spinal pain transmission."
SNr,Substantia nigra reticular part,MB,"Principal output nucleus of the basal ganglia sending tonic GABAergic inhibition to the thalamus and superior colliculus. Disinhibition permits voluntary movement initiation."
SNc,Substantia nigra compact part,MB,"Contains dopaminergic neurons projecting to the dorsal striatum via the nigrostriatal pathway. Degeneration of these neurons causes Parkinson's disease motor symptoms."
