System,Ligand_Name,Receptor_Name,Ligand_Gene,Receptor_Gene,Ligand_Class,NT_Class,Functional_Role,Hypothalamic_Nuclei,Notes
Norepinephrine,Norepinephrine,α2B adrenoceptor,,Adra2b,neuromodulator,Nora,Inhibitory (Gi),,
Norepinephrine,Norepinephrine,α2C adrenoceptor,,Adra2c,neuromodulator,Nora,Inhibitory (Gi),,
Norepinephrine,Norepinephrine,β1 adrenoceptor,,Adrb1,neuromodulator,Nora,Excitatory (Gs),,
Norepinephrine,Norepinephrine,β2 adrenoceptor,,Adrb2,neuromodulator,Nora,Excitatory (Gs),,
Norepinephrine,Norepinephrine,β3 adrenoceptor,,Adrb3,neuromodulator,Nora,Excitatory (Gs),,
Serotonin,Serotonin,5-HT1A receptor,,Htr1a,neuromodulator,Sero,Inhibitory autoreceptor (Gi),,
Serotonin,Serotonin,5-HT1B receptor,,Htr1b,neuromodulator,Sero,Inhibitory (Gi),,
Serotonin,Serotonin,5-HT1D receptor,,Htr1d,neuromodulator,Sero,Inhibitory (Gi),,
Serotonin,Serotonin,5-HT1F receptor,,Htr1f,neuromodulator,Sero,Inhibitory (Gi),,
Serotonin,Serotonin,5-HT2A receptor,,Htr2a,neuromodulator,Sero,Excitatory (Gq),,
Serotonin,Serotonin,5-HT2B receptor,,Htr2b,neuromodulator,Sero,Excitatory (Gq),,
Serotonin,Serotonin,5-HT2C receptor,,Htr2c,neuromodulator,Sero,Excitatory (Gq),,
Serotonin,Serotonin,5-HT3A receptor,,Htr3a,neuromodulator,Sero,Ligand-gated cation channel,,
Serotonin,Serotonin,5-HT3B receptor,,Htr3b,neuromodulator,Sero,Ligand-gated cation channel,,
Serotonin,Serotonin,5-HT4 receptor,,Htr4,neuromodulator,Sero,Excitatory (Gs),,
Serotonin,Serotonin,5-HT5A receptor,,Htr5a,neuromodulator,Sero,Inhibitory (Gi),,
Serotonin,Serotonin,5-HT6 receptor,,Htr6,neuromodulator,Sero,Excitatory (Gs),,
Serotonin,Serotonin,5-HT7 receptor,,Htr7,neuromodulator,Sero,Excitatory (Gs),,
Histamine,Histamine,H1 receptor,,Hrh1,neuromodulator,Hist,Excitatory (Gq),,
Histamine,Histamine,H2 receptor,,Hrh2,neuromodulator,Hist,Excitatory (Gs),,
Histamine,Histamine,H3 receptor,,Hrh3,neuromodulator,Hist,Inhibitory autoreceptor (Gi),,
Histamine,Histamine,H4 receptor,,Hrh4,neuromodulator,Hist,Inhibitory (Gi),,
